,Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths,observationdate_value,count
37992,227377,OIE,36.88963,127.63904099999999,Asia,Republic of Korea,Chungchongbuk-do,Eumseong-gun,Exact,6/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",73200.0,200.0,200.0,73000.0,0.0,,,,,2016.93151,2012
36462,221533,FAO Field Officer,-4.76037,104.977,Asia,Indonesia,Lampung,SUMBER AGUNG,Exact,6/12/16,6/12/16,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,197.0,,,,,,,2016.93151,2013
38081,227378,OIE,37.185594,127.542383,Asia,Republic of Korea,Kyonggi-do,Yeoju-si,Exact,6/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",129383.0,103.0,103.0,129280.0,0.0,,,,,2016.93151,2014
38106,227408,OIE,37.111525,127.50244099999999,Asia,Republic of Korea,Kyonggi-do,Anseong-si,Exact,7/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",59500.0,100.0,100.0,59400.0,0.0,,,,,2016.93425,2015
71996,222995,OIE,31.702628999999998,34.690513,Asia,Israel,Southern District,MASSU''''OT YIZHAQ,Exact,7/12/16,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",26000.0,,100.0,25900.0,0.0,,,,,2016.93425,2016
38207,227411,OIE,36.876377000000005,127.519756,Asia,Republic of Korea,Chungchongbuk-do,Jincheon-gun,Exact,7/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",92534.0,34.0,34.0,92500.0,0.0,,,,,2016.93425,2017
37987,227415,OIE,37.073983,127.528058,Asia,Republic of Korea,Kyonggi-do,Icheon-si,Exact,8/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",75690.0,218.0,218.0,75472.0,0.0,,,,,2016.93699,2018
36908,221537,FAO Field Officer,-5.43524,105.24799999999999,Asia,Indonesia,Lampung,SUKARAJA,Centroid Admin2,8/12/16,8/12/16,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, chicken",,,52.0,,,,,,,2016.93699,2019
38389,227413,OIE,36.789341,126.930994,Asia,Republic of Korea,Chungchongnam-do,Asan-si,Exact,8/12/16,4/5/17,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",60009.0,20.0,9.0,60000.0,0.0,,,,,2016.93699,2020
71997,222997,OIE,31.737023999999998,34.723034000000006,Asia,Israel,Southern District,BE''''ER TOVIYYA,Exact,9/12/16,25/12/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",11000.0,,100.0,10900.0,0.0,,,,,2016.93973,2021
